,protocol_type,protocol_name,Algorithm,Simulation_Number,Task Id,Mission Id,Task Importance,Max Players,Initial Workload,Arrival Delay,Abandonment Counter,Total Abandonment Counter,Total Time In System,Total Time Since First Arrival,Time Taken (In System) Relative To Optimal,Time Taken (First Arrival) Relative To Optimal,Cap,Is Done,Abandonment Penalty,Utility,map_size,max_nclo,converge_threshold
0,Delay,Pois(1000^d)+TS,FMC_ATA,0,5,11,38183.78443997038,3,38183.78443997038,90.00349230037911,0,0,12917.112815347311,12827.109323046932,0.9853539508870945,0.992267846644767,38068.339305868656,True,0,37709.050537969306,900X900,100000,1e-05
1,Delay,Pois(1000^d)+TS,FMC_ATA,0,5,13,38183.78443997038,2,38183.78443997038,95.29913952436456,0,0,19191.630674202934,19096.331534678568,0.9948030234683596,0.9997675304973987,38179.34512527701,True,0,37797.91337456738,900X900,100000,1e-05
2,Delay,Pois(1000^d)+TS,FMC_ATA,0,5,12,38183.78443997038,3,38183.78443997038,17304.655262604992,0,0,30409.22257568641,13104.567313081418,0.418554868181121,0.9712589391601927,37430.50610712114,True,0,6045.164168948482,900X900,100000,1e-05
3,Delay,Pois(1000^d)+TS,FMC_ATA,0,10,27,36049.23103919594,2,36049.23103919594,113.16129627642157,0,0,18140.81917808879,18027.657881812367,0.9935943544031807,0.9998312391862358,36046.18867698155,True,0,35618.9714697588,900X900,100000,1e-05
4,Delay,Pois(1000^d)+TS,FMC_ATA,0,10,26,36049.23103919594,3,36049.23103919594,464.9488836115972,0,0,20978.6375736941,20513.688690082505,0.5727926946727214,0.5857752122468384,27551.952695512082,True,0,26234.783825977083,900X900,100000,1e-05
5,Delay,Pois(1000^d)+TS,FMC_ATA,0,10,28,36049.23103919594,1,36049.23103919594,209.0676143935289,0,0,36258.29865358947,36049.23103919594,0.994233937549278,1.0,36049.23103919593,True,0,35263.8394756884,900X900,100000,1e-05
6,Delay,Pois(1000^d)+TS,FMC_ATA,0,7,18,41014.75693193326,4,41014.75693193326,135.97237342386836,0,0,10435.251244520048,10299.27887109618,0.9826010886290756,0.9955735116328575,40926.96118371589,True,0,40344.816545233254,900X900,100000,1e-05
7,Delay,Pois(1000^d)+TS,FMC_ATA,0,7,17,41014.75693193326,3,41014.75693193326,123.86190482727325,0,0,13842.66153536734,13718.799630540067,0.9876414018393431,0.9965584462318987,40926.20942965724,True,0,40395.58597692313,900X900,100000,1e-05
8,Delay,Pois(1000^d)+TS,FMC_ATA,0,7,19,41014.75693193326,3,41014.75693193326,733.4041147508,0,0,36430.48430966232,35697.08019491152,0.37527872338363866,0.3829889046759232,17216.703468658918,True,0,15936.438372190005,900X900,100000,1e-05
9,Delay,Pois(1000^d)+TS,FMC_ATA,0,3,7,61127.47213686085,3,61127.47213686085,299.46385182458425,0,0,31020.62821910136,30721.164367276775,0.6568475629089163,0.6632503834172371,40646.69589200967,True,0,39384.24585601249,900X900,100000,1e-05
10,Delay,Pois(1000^d)+TS,FMC_ATA,0,3,6,61127.47213686085,5,61127.47213686085,10527.430598059269,0,0,33061.43402831614,22534.003430256867,0.36978112978709266,0.5425353939086007,34086.66802055262,True,0,11242.832610644999,900X900,100000,1e-05
11,Delay,Pois(1000^d)+TS,FMC_ATA,0,3,5,61127.47213686085,3,61127.47213686085,13934.840888906561,0,0,40351.41107505834,26416.57018615178,0.5049593930610969,0.7713273866378685,49045.979855797865,True,0,11297.440559012632,900X900,100000,1e-05
