,Sigma RiXi,Sigma RiXi pov,Single Sigma RiXi,Single Sigma RiXi pov,Price_Single_Mission,Price_Single_Mission_Players_View,protocol_type,protocol_name,Algorithm,map_size,max_nclo,converge_threshold
0,1011209.2629235442,1011209.2629235442,3583.7712194768224,4262.840149371695,0.854847850470807,0.8548479946107232,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
1,1006856.822464364,1006856.822464364,2310.012701552784,3309.668424382752,0.9851258913365728,0.9851243663494759,No Loss,e^-(0d),FMC_TA,9000X9000,5000,1e-05
