,protocol_type,protocol_name,Algorithm,Simulation_Number,Task Id,Mission Id,Task Importance,Max Players,Initial Workload,Arrival Delay,Abandonment Counter,Total Time In System,Total Time Since First Arrival,Time Taken (In System) Relative To Optimal,Time Taken (First Arrival) Relative To Optimal,Cap,Is Done,Abandonment Penalty,Delay Penalty,Utility,map_size,max_nclo,converge_threshold,Time Stamp,pace of tasks,central_location_multiplier_list
10,Delay,Pois(10000^d),FMC_ATA,0,5,12,72983.17482601287,5,134458.47434471382,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
11,Delay,Pois(10000^d),FMC_ATA,0,5,13,72983.17482601287,5,131687.23897145438,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
12,Delay,Pois(10000^d),FMC_ATA,0,6,14,91301.10532378982,5,188252.22979048395,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
13,Delay,Pois(10000^d),FMC_ATA,0,6,15,91301.10532378982,5,179003.75285319946,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
14,Delay,Pois(10000^d),FMC_ATA,0,6,16,91301.10532378982,5,173499.9304226976,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
15,Delay,Pois(10000^d),FMC_ATA,0,7,17,1404.1700164018955,5,101010.58774131237,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
16,Delay,Pois(10000^d),FMC_ATA,0,7,18,1404.1700164018955,5,101158.22258509125,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
17,Delay,Pois(10000^d),FMC_ATA,0,7,19,1404.1700164018955,5,100001.60471261549,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
18,Delay,Pois(10000^d),FMC_ATA,0,8,20,86760.2775492781,5,121161.77537601537,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
19,Delay,Pois(10000^d),FMC_ATA,0,8,21,86760.2775492781,5,175522.32569640898,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
20,Delay,Pois(10000^d),FMC_ATA,0,8,22,86760.2775492781,5,149237.38936844587,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
21,Delay,Pois(10000^d),FMC_ATA,0,9,23,96754.02502901433,5,177710.846473495,118313.57122031615,0,248128.295058908,129814.72383859185,0.1432410974583167,0.2737915102672882,52130.847999847465,True,0,0.8828007202491301,46021.150161463265,1000000X1000000,1000,1e-200,,100000,2
22,Delay,Pois(10000^d),FMC_ATA,0,9,25,96754.02502901433,5,149145.30163968922,118313.57122031615,0,267458.87286000536,149145.3016396892,0.11152765286478687,0.20000000000000004,19350.805005802864,True,0,0.8828007202491301,17082.90459652324,1000000X1000000,1000,1e-200,,100000,2
23,Delay,Pois(10000^d),FMC_ATA,0,9,24,96754.02502901433,5,107783.45674171156,118313.57122031615,0,NaN,NaN,,NaN,0.0,False,0,0.8828007202491301,0.0,1000000X1000000,1000,1e-200,,100000,2
24,Delay,Pois(10000^d),FMC_ATA,0,10,26,10905.784593110367,5,106012.00183910072,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
25,Delay,Pois(10000^d),FMC_ATA,0,10,27,10905.784593110367,5,105970.27265640382,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
26,Delay,Pois(10000^d),FMC_ATA,0,10,28,10905.784593110367,5,105892.21663680706,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
27,Delay,Pois(10000^d),FMC_ATA,0,11,29,60318.5627961383,5,135444.2167855485,47185.10810265045,0,182629.32488819893,135444.2167855485,0.14832690956774222,0.2,12063.71255922766,True,0,0.9515010647626624,11478.635345095821,1000000X1000000,1000,1e-200,,100000,2
28,Delay,Pois(10000^d),FMC_ATA,0,11,30,60318.5627961383,5,135967.1665049128,47185.10810265045,0,NaN,NaN,,NaN,0.0,False,0,0.9515010647626624,0.0,1000000X1000000,1000,1e-200,,100000,2
29,Delay,Pois(10000^d),FMC_ATA,0,11,31,60318.5627961383,5,134722.44184656552,47185.10810265045,0,NaN,NaN,,NaN,0.0,False,0,0.9515010647626624,0.0,1000000X1000000,1000,1e-200,,100000,2
30,Delay,Pois(10000^d),FMC_ATA,0,12,32,18939.132855435615,5,103536.49534366478,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
31,Delay,Pois(10000^d),FMC_ATA,0,12,33,18939.132855435615,5,112436.55940884375,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
32,Delay,Pois(10000^d),FMC_ATA,0,12,34,18939.132855435615,5,101701.19551033799,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
33,Delay,Pois(10000^d),FMC_ATA,0,13,37,87677.03708227747,5,147398.19966634698,81504.10212597677,0,228902.30179232376,147398.199666347,0.12878699647160122,0.19999999999999996,17535.4074164555,True,0,0.9177106425138598,16092.430006897677,1000000X1000000,1000,1e-200,,100000,2
34,Delay,Pois(10000^d),FMC_ATA,0,13,35,87677.03708227747,5,180959.31157619308,81504.10212597677,0,NaN,NaN,,NaN,0.0,False,0,0.9177106425138598,0.0,1000000X1000000,1000,1e-200,,100000,2
35,Delay,Pois(10000^d),FMC_ATA,0,13,36,87677.03708227747,5,178749.15806759964,81504.10212597677,0,NaN,NaN,,NaN,0.0,False,0,0.9177106425138598,0.0,1000000X1000000,1000,1e-200,,100000,2
36,Delay,Pois(10000^d),FMC_ATA,0,14,38,70528.33998544063,5,119440.0170194899,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
37,Delay,Pois(10000^d),FMC_ATA,0,14,39,70528.33998544063,5,159912.8349655243,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
38,Delay,Pois(10000^d),FMC_ATA,0,14,40,70528.33998544063,5,141597.6983959009,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
39,Delay,Pois(10000^d),FMC_ATA,0,15,41,57969.50107456059,5,126118.91849401212,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
40,Delay,Pois(10000^d),FMC_ATA,0,15,42,57969.50107456059,5,157752.56988894637,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
41,Delay,Pois(10000^d),FMC_ATA,0,15,43,57969.50107456059,5,145988.6593169629,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
42,Delay,Pois(10000^d),FMC_ATA,0,16,44,61278.31050407122,5,129808.47885117173,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
43,Delay,Pois(10000^d),FMC_ATA,0,16,45,61278.31050407122,5,151784.92608202685,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
44,Delay,Pois(10000^d),FMC_ATA,0,16,46,61278.31050407122,5,144824.42360200267,NaN,0,NaN,NaN,,NaN,0.0,False,0,0,0.0,1000000X1000000,1000,1e-200,,100000,2
