,protocol_type,protocol_name,Algorithm,Simulation_Number,Task Id,Mission Id,Task Importance,Max Players,Initial Workload,Arrival Delay,Abandonment Counter,Total Abandonment Counter,Total Time In System,Total Time Since First Arrival,Time Taken (In System) Relative To Optimal,Time Taken (First Arrival) Relative To Optimal,Cap,Is Done,Abandonment Penalty,Utility,map_size,max_nclo,converge_threshold
0,Delay,Pois(1000^d)+TS,FMC_ATA,0,10,27,36049.23103919594,2,36049.23103919594,1192.4602070521757,0,0,19582.044089228777,18389.5838821766,0.9204664966264947,0.9801535279472875,35684.2626766173,True,0,31471.1592760535,9000X9000,100000,1e-05
1,Delay,Pois(1000^d)+TS,FMC_ATA,0,10,26,36049.23103919594,3,36049.23103919594,4649.488836115971,0,0,34698.488241103616,30048.999404987644,0.3463093337929369,0.39989385950748557,16016.56476920418,True,0,9813.421047776974,9000X9000,100000,1e-05
2,Delay,Pois(1000^d)+TS,FMC_ATA,0,10,28,36049.23103919594,1,36049.23103919594,2090.676143935289,0,0,38139.90718313123,36049.23103919594,0.9451840264346535,1.0,36049.23103919595,True,0,28922.239050443957,9000X9000,100000,1e-05
3,Delay,Pois(1000^d)+TS,FMC_ATA,0,9,23,101301.10532378982,10,101301.10532378982,2101.93139494925,0,0,23685.699876890038,21583.768481940788,0.4276888833782301,0.46933928803280484,49368.98207638679,True,0,39561.71106207427,9000X9000,100000,1e-05
4,Delay,Pois(1000^d)+TS,FMC_ATA,0,9,24,101301.10532378982,5,101301.10532378982,266.1517244423322,0,0,39466.48886580118,39200.33714135885,0.5133525085965783,0.5168379290131702,65429.52507490358,True,0,63620.244370094224,9000X9000,100000,1e-05
5,Delay,Pois(1000^d)+TS,FMC_ATA,0,9,25,101301.10532378982,9,101301.10532378982,1834.966292128701,0,0,41388.077894123315,39553.11160199461,0.2719546048527219,0.2845712489720371,30690.655119677165,True,0,25295.467260205245,9000X9000,100000,1e-05
6,Delay,Pois(1000^d)+TS,FMC_ATA,0,5,12,38183.78443997038,3,38183.78443997038,280.3483920955789,0,0,13834.762556156471,13554.414164060892,0.9199961397958987,0.9390245858359928,37032.90397271838,True,0,35955.03618170662,9000X9000,100000,1e-05
7,Delay,Pois(1000^d)+TS,FMC_ATA,0,5,13,38183.78443997038,2,38183.78443997038,952.9913952436463,0,0,20089.27676216261,19136.285366918964,0.9503523917766937,0.9976801586053625,38139.391293036606,True,0,34495.88271838809,9000X9000,100000,1e-05
8,Delay,Pois(1000^d)+TS,FMC_ATA,0,5,11,38183.78443997038,3,38183.78443997038,24627.295945150243,0,0,44294.02085101059,19666.724905860345,0.28735093139250195,0.6471808706117657,25072.634502730147,True,0,1872.0468275865057,9000X9000,100000,1e-05
9,Delay,Pois(1000^d)+TS,FMC_ATA,0,7,18,41014.75693193326,4,41014.75693193326,1359.7237342386827,0,0,12069.309348350675,10709.585614111991,0.8495671903864597,0.9574309970940479,40136.79944975965,True,0,34779.64882070103,9000X9000,100000,1e-05
